,FileName,CMin,CMax,RMin,RMax,ClassName
0,malaria/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,279,409,52,200,trophozoite
1,malaria/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1037,1155,441,578,trophozoite
2,malaria/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,1273,1454,1050,1172,trophozoite
3,malaria/images/6b14c855-8561-417c-97a4-63fa552842fd.png,482,626,76,219,schizont
4,malaria/images/6b14c855-8561-417c-97a4-63fa552842fd.png,1156,1314,1020,1143,difficult
5,malaria/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,324,446,208,337,ring
6,malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png,422,558,661,803,difficult
7,malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png,576,717,169,324,difficult
8,malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png,866,1014,130,292,schizont
9,malaria/images/2559636b-f01a-4414-93da-210c3b12d153.png,96,253,209,381,leukocyte
10,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,237,356,194,317,trophozoite
11,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,53,178,578,713,trophozoite
12,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1417,1535,462,612,trophozoite
13,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,409,560,791,946,trophozoite
14,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1330,1461,676,826,trophozoite
15,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,783,885,546,661,trophozoite
16,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,1446,1581,8,227,trophozoite
17,malaria/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,441,565,988,1174,trophozoite
18,malaria/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,1380,1498,228,366,ring
19,malaria/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,266,383,741,862,ring
